"","umpd_case_number","type","type_detail","disposition","date_incident","arrest_number","notes","race","sex","arrest_date"
"973","2023-00071422","recovered stolen motor vehicle","NA","arrest","2023-08-12","23854","MOTOR VEHICLE/UNLAWFUL TAKING; THEFT: $1,500 TO UNDER $25,000-All Other; Unauth Removal of Motor Vehicle","black","male","2023-08-12"
"974","2023-00071589","dwi/dui","NA","arrest","2023-08-13","23856","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se","white","female","2023-08-13"
"975","2023-00072251","dept property damage/loss","NA","active/pending","2023-08-14","NA","NA","NA","NA","NA"
"976","2023-00072401","stolen motor vehicle","NA","investigation pending","2023-08-12","NA","NA","NA","NA","NA"
"977","2023-00072408","assist other agency","theft","cbe","2023-08-15","NA","NA","NA","NA","NA"
"978","2023-00072691","assault","NA","cbe","2023-08-16","NA","NA","NA","NA","NA"
"979","2023-00072699","stolen motor vehicle","NA","investigation pending","2023-08-05","NA","NA","NA","NA","NA"
"980","2023-00072714","theft","NA","investigation pending","2023-06-16","NA","NA","NA","NA","NA"
"981","2023-00072774","theft","NA","investigation pending","2023-08-16","NA","NA","NA","NA","NA"
"982","2023-00073103","assist other agency","death investigation","cbe","2023-08-17","NA","NA","NA","NA","NA"
"983","2023-00073316","dept property damage/loss","NA","cbe","2023-08-18","NA","NA","NA","NA","NA"
"984","2023-00073376","theft from auto","NA","investigation pending","2023-08-17","NA","NA","NA","NA","NA"
"985","2023-00073388","injured officer","NA","cbe","2023-08-18","NA","NA","NA","NA","NA"
"986","2023-00073389","theft","NA","warrant issued","2023-08-18","NA","NA","NA","NA","NA"
"987","2023-00073668","emergency petition","NA","cbe","2023-08-19","NA","NA","NA","NA","NA"
"988","2023-00073682","injured/sick person","NA","cbe","2023-08-19","NA","NA","NA","NA","NA"
"989","2023-00073703","assist other agency","robbery","cbe","2023-08-18","NA","NA","NA","NA","NA"
"990","2023-00073885","dwi/dui","NA","arrest","2023-08-20","23862","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se; Driver consuming alcoholic beverage in passenger area of motor veh. on hwy; Driver failure to obey properly placed traffic control device instructions; Driving veh. on hwy. at speed exceeding speed limit by 20 to 29 mph.; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","white","female","2023-08-20"
"991","2023-00074239","dwi/dui","NA","arrest","2023-08-21","23857","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Operating Unregistered Motor Veh; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","asian","male","2023-08-21"
"992","2023-00074317","theft","NA","investigation pending","2022-10-29","NA","NA","NA","NA","NA"
"993","2023-00074374","injured officer","NA","cbe","2023-08-21","NA","NA","NA","NA","NA"
"994","2023-00074400","vandalism","NA","warrant issued","2023-08-20","NA","NA","NA","NA","NA"
"995","2023-00074459","other incident","NA","cbe","2023-08-21","NA","NA","NA","NA","NA"
"996","2023-00074549","dwi/dui","NA","arrest","2023-08-22","23858","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se","white","male","2023-08-22"
"997","2023-00074624","injured/sick person","NA","cbe","2023-08-22","NA","NA","NA","NA","NA"
"998","2023-00074819","assist other agency","other","cbe","2023-08-22","NA","NA","NA","NA","NA"
"999","2023-00074888","dwi/dui","NA","arrest","2023-08-23","23859","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol","white","female","2023-08-23"
"1000","2023-00074990","hazardous condition","NA","cbe","2023-08-23","NA","NA","NA","NA","NA"
"1001","2023-00075048","assist fire department","NA","cbe","2023-08-23","NA","NA","NA","NA","NA"
"1002","2023-00075101","damage to state property","NA","cbe","2023-08-23","NA","NA","NA","NA","NA"
"1003","2023-00075123","assist other agency (title ix related)","indecent exposure","cbe","2023-08-23","NA","NA","NA","NA","NA"
"1004","2023-00075127","recovered stolen property","NA","cbe","2023-08-23","NA","NA","NA","NA","NA"
"1005","2023-00075360","warrant/summons service","NA","arrest","2023-08-24","NA","NA","NA","NA","NA"
"1006","2023-00075399","injured/sick person","NA","cbe","2023-08-24","NA","NA","NA","NA","NA"
"1007","2023-00075423","assist other agency","other","cbe","2023-08-24","NA","NA","NA","NA","NA"
"1008","2023-00075659","theft","NA","arrest","2023-08-24","23877","THEFT: $100 TO UNDER $1,500-All Other","white","male","2023-09-21"
"1009","2023-00075714","trespassing","NA","cbe","2023-08-25","NA","NA","NA","NA","NA"
"1010","2023-00075715","assist other agency","indecent exposure","cbe","2023-08-25","NA","NA","NA","NA","NA"
"1011","2023-00075717","dwi/dui","NA","arrest","2023-08-25","23860","(Driving, Attempting to drive) veh. while under the influence of alcohol","black","male","2023-08-25"
"1012","2023-00075719","theft","NA","investigation pending","2023-08-25","NA","NA","NA","NA","NA"
"1013","2023-00075751","stolen motor vehicle","NA","cbe","2023-08-23","NA","NA","NA","NA","NA"
"1014","2023-00075770","assist other agency","other","cbe","2023-08-22","NA","NA","NA","NA","NA"
"1015","2023-00075785","injured/sick person","NA","cbe","2023-08-25","NA","NA","NA","NA","NA"
"1016","2023-00075811","trespassing","NA","arrest","2023-08-25","23892","False Statement to Officer; School Trespassing On Ground","black","male","2023-10-16"
"1017","2023-00075851","injured/sick person","NA","cbe","2023-08-25","NA","NA","NA","NA","NA"
"1018","2023-00075858","injured/sick person","NA","cbe","2023-08-26","NA","NA","NA","NA","NA"
"1019","2023-00075983","injured/sick person","NA","cbe","2023-08-26","NA","NA","NA","NA","NA"
"1020","2023-00076060","injured/sick person","NA","cbe","2023-08-26","NA","NA","NA","NA","NA"
"1021","2023-00076088","check on the  welfare","NA","cbe","2023-08-26","NA","NA","NA","NA","NA"
"1022","2023-00076217","assist other agency","shoplifter","cbe","2023-08-27","NA","NA","NA","NA","NA"
"1023","2023-00076252","check on the  welfare","NA","cbe","2023-08-27","NA","NA","NA","NA","NA"
"1024","2023-00076297","assist other agency","theft","cbe","2023-08-27","NA","NA","NA","NA","NA"
"1025","2023-00076310","stolen motor vehicle","NA","active/pending","2023-08-27","NA","NA","NA","NA","NA"
"1026","2023-00076366","other incident","NA","cbe","2023-08-27","NA","NA","NA","NA","NA"
"1027","2023-00076552","recovered stolen property","NA","active/pending","2023-08-28","NA","NA","NA","NA","NA"
"1028","2023-00076554","other incident","NA","active/pending","2023-08-25","NA","NA","NA","NA","NA"
"1029","2023-00076607","theft","NA","investigation pending","2023-08-26","NA","NA","NA","NA","NA"
"1030","2023-00076629","hate bias incident","NA","active/pending","2022-01-06","NA","NA","NA","NA","NA"
"1031","2023-00076694","theft","NA","investigation pending","2023-08-28","NA","NA","NA","NA","NA"
"1032","2023-00076877","animal complaint","NA","cbe","2023-08-29","NA","NA","NA","NA","NA"
"1033","2023-00076915","assist other agency","burglary","active/pending","2023-08-29","NA","NA","NA","NA","NA"
"1034","2023-00076920","injured/sick person","NA","cbe","2023-08-29","NA","NA","NA","NA","NA"
"1035","2023-00076938","theft","NA","investigation pending","2023-08-29","NA","NA","NA","NA","NA"
"1036","2023-00076946","dept property damage/loss","NA","active/pending","2023-08-24","NA","NA","NA","NA","NA"
"1037","2023-00077011","disorderly conduct","NA","cbe","2023-08-29","NA","NA","NA","NA","NA"
"1038","2023-00077042","injured/sick person","NA","cbe","2023-08-29","NA","NA","NA","NA","NA"
"1039","2023-00077186","suspicious person/auto","NA","cbe","2023-08-30","NA","NA","NA","NA","NA"
"1040","2023-00077187","other incident","NA","active/pending","2023-08-29","NA","NA","NA","NA","NA"
"1041","2023-00077199","assist other agency","assault","active/pending","2023-08-30","NA","NA","NA","NA","NA"
"1042","2023-00077227","theft from auto","NA","warrant issued","2023-08-30","NA","NA","NA","NA","NA"
"1043","2023-00077229","hazardous condition","NA","cbe","2023-08-30","NA","NA","NA","NA","NA"
"1044","2023-00077308","dwi/dui","NA","arrest","2023-08-30","23863","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, attempting to drive) veh. while so far impaired by (drug(s) or drug(s) and alcohol) cannot drive safely; (Driving, Attempting to drive) veh. while under the influence of alcohol; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","black","male","2023-08-30"
"1045","2023-00077320","suspicious person/auto","NA","cbe","2023-08-30","NA","NA","NA","NA","NA"
"1046","2023-00077323","fraud","NA","investigation pending","2023-08-30","NA","NA","NA","NA","NA"
"1047","2023-00077563","theft","NA","investigation pending","2023-08-31","NA","NA","NA","NA","NA"
"1048","2023-00077566","telephone/email misuse","NA","active/pending","2023-08-28","NA","NA","NA","NA","NA"
"1049","2023-00077595","extortion","NA","cbe","2023-08-21","NA","NA","NA","NA","NA"
"1050","2023-00077619","fraud","NA","arrest","2023-08-31","23886","Computers Illegal Access; Knowing Sale/Issue False ID","black","male","2023-10-09"
"1051","2023-00077666","theft","NA","investigation pending","2023-08-31","NA","NA","NA","NA","NA"
"1052","2023-00077748","injured/sick person","NA","cbe","2023-09-01","NA","NA","NA","NA","NA"
"1053","2023-00077767","injured/sick person","NA","cbe","2023-09-01","NA","NA","NA","NA","NA"
"1054","2023-00077780","stolen motor vehicle","NA","investigation pending","2023-09-01","NA","NA","NA","NA","NA"
"1055","2023-00077834","vandalism","NA","active/pending","2023-09-01","NA","NA","NA","NA","NA"
"1056","2023-00077860","assault","NA","investigation pending","2023-08-31","NA","NA","NA","NA","NA"
"1057","2023-00077879","hate bias incident","NA","active/pending","2023-09-01","NA","NA","NA","NA","NA"
"1058","2023-00077946","dept property damage/loss","NA","cbe","2023-09-01","NA","NA","NA","NA","NA"
"1059","2023-00078005","harassment/stalking","NA","active/pending","2023-08-31","NA","NA","NA","NA","NA"
"1060","2023-00078050","disorderly conduct","NA","arrest","2023-09-01","23864","Urinating or Defecating in Public","asian","female","2023-09-01"
"1061","2023-00078090","alcohol violation","NA","arrest","2023-09-02","23865","Consuming/Possessing Open Alcoholic Beverage in Public","american indian/alaskan","male","2023-09-02"
"1062","2023-00078099","injured/sick person","NA","cbe","2023-09-02","NA","NA","NA","NA","NA"
"1063","2023-00078100","emergency petition","NA","cbe","2023-09-02","NA","NA","NA","NA","NA"
"1064","2023-00078203","domestic","NA","cbe","2023-09-02","NA","NA","NA","NA","NA"
"1065","2023-00078320","injured/sick person","NA","cbe","2023-09-02","NA","NA","NA","NA","NA"
"1066","2023-00078376","assault","NA","cbe","2023-09-02","NA","NA","NA","NA","NA"
"1067","2023-00078400","other service call","NA","cbe","2023-09-03","NA","NA","NA","NA","NA"
"1068","2023-00078401","injured/sick person","NA","cbe","2023-09-03","NA","NA","NA","NA","NA"
"1069","2023-00078406","injured/sick person","NA","cbe","2023-09-03","NA","NA","NA","NA","NA"
"1070","2023-00078537","other incident","NA","cbe","2023-09-03","NA","NA","NA","NA","NA"
"1071","2023-00078652","injured/sick person","NA","cbe","2023-09-03","NA","NA","NA","NA","NA"
"1072","2023-00078653","theft","NA","investigation pending","2023-09-03","NA","NA","NA","NA","NA"
"1073","2023-00078937","theft","NA","investigation pending","2023-09-03","NA","NA","NA","NA","NA"
"1074","2023-00078967","cds violation","NA","juvenile arrest","2023-09-04","911","CDS:Possession Cannabis-Civil Amount","black","male","2023-09-04"
"1075","2023-00079007","emergency petition","NA","cbe","2023-09-04","NA","NA","NA","NA","NA"
"1076","2023-00079190","theft","NA","investigation pending","2023-09-01","NA","NA","NA","NA","NA"
"1077","2023-00079228","fraud","NA","cbe","2023-09-05","NA","NA","NA","NA","NA"
"1078","2023-00079252","other incident","NA","active/pending","2023-09-05","NA","NA","NA","NA","NA"
"1079","2023-00079257","theft","NA","investigation pending","2023-09-05","NA","NA","NA","NA","NA"
"1080","2023-00079260","peeping tom (title ix related)","NA","investigation pending","2023-08-31","NA","NA","NA","NA","NA"
"1081","2023-00079286","injured/sick person","NA","cbe","2023-09-05","NA","NA","NA","NA","NA"
"1082","2023-00079290","injured/sick person","NA","cbe","2023-09-05","NA","NA","NA","NA","NA"
"1083","2023-00079343","injured/sick person","NA","cbe","2023-09-06","NA","NA","NA","NA","NA"
"1084","2023-00079456","injured/sick person","NA","cbe","2023-09-06","NA","NA","NA","NA","NA"
